timestamp,positive,negative
2014/5/22:17,0.159952762,-0.342212264
2014/5/22:18,0.162336947,-0.341718585
2014/5/22:19,0.15796401,-0.341106945
2014/5/22:20,0.155701649,-0.348628796
2014/5/22:21,0.159576227,-0.356674661
2014/5/22:22,0.155039264,-0.34622028
2014/5/22:23,0.153022929,-0.348338226
2014/5/23:0,0.15393147,-0.340352851
2014/5/23:1,0.158758248,-0.33330575
2014/5/23:2,0.161014109,-0.345586586
2014/5/23:3,0.154840764,-0.344942938
2014/5/23:4,0.162867198,-0.3432829
2014/5/23:5,0.175181832,-0.333938153
2014/5/23:6,0.162839253,-0.331190888
2014/5/23:7,0.17521165,-0.345402757
2014/5/23:8,0.165320179,-0.334461445
2014/5/23:9,0.181834172,-0.319009582
2014/5/23:10,0.169780482,-0.258094955
2014/5/23:11,0.184326948,-0.332803793
2014/5/23:12,0.179495492,-0.32913083
2014/5/23:13,0.166927534,-0.328299845
2014/5/23:14,0.175321546,-0.324231603
2014/5/23:15,0.161167877,-0.331772663
2014/5/23:16,0.1612155,-0.330049988
2014/5/23:17,0.169098917,-0.340653673
2014/5/23:18,0.165626829,-0.346693287
2014/5/23:19,0.167966489,-0.346579967
2014/5/23:20,0.159595712,-0.343783906
2014/5/23:21,0.162606684,-0.318693925
2014/5/23:22,0.162197721,-0.351713602
2014/5/23:23,0.148316456,-0.341220466
2014/5/24:0,0.158627171,-0.332931234
2014/5/24:1,0.155402588,-0.346575584
2014/5/24:2,0.16398604,-0.348234627
2014/5/24:3,0.154460268,-0.343195461
2014/5/24:4,0.158298171,-0.356609654
2014/5/24:5,0.164935457,-0.352792037
2014/5/24:6,0.164537222,-0.330574296
2014/5/24:7,0.155105534,-0.336180532
2014/5/24:8,0.144089802,-0.368950723
2014/5/24:9,0.137891502,-0.364357385
2014/5/24:10,0.147443555,-0.31727314
2014/5/24:11,0.169371499,-0.315858975
2014/5/24:12,0.166763579,-0.343093817
2014/5/24:13,0.171053163,-0.356679849
2014/5/24:14,0.173375793,-0.335130867
2014/5/24:15,0.167571905,-0.350140911
2014/5/24:16,0.162999566,-0.34365685
2014/5/24:17,0.153475542,-0.337850148
2014/5/24:18,0.158687317,-0.352045291
2014/5/24:19,0.148684712,-0.342382612
2014/5/24:20,0.14966594,-0.352516024
2014/5/24:21,0.145701545,-0.338175544
2014/5/24:22,0.150447191,-0.338430834
2014/5/24:23,0.147831195,-0.348238671
2014/5/25:0,0.148328932,-0.361299482
2014/5/25:1,0.144616079,-0.349785878
2014/5/25:2,0.143617675,-0.357554466
2014/5/25:3,0.158490492,-0.367232083
2014/5/25:4,0.15500364,-0.362545043
2014/5/25:5,0.158025308,-0.341792888
2014/5/25:6,0.143989057,-0.367749993
2014/5/25:7,0.147742332,-0.335397438
2014/5/25:8,0.15587065,-0.351873353
2014/5/25:9,0.152651825,-0.337586963
2014/5/25:10,0.173603693,-0.326298151
2014/5/25:11,0.159311034,-0.314298491
2014/5/25:12,0.173473744,-0.309543149
2014/5/25:13,0.175452551,-0.313564768
2014/5/25:14,0.174950408,-0.33462924
2014/5/25:15,0.163329038,-0.345280391
2014/5/25:16,0.164989827,-0.332840083
2014/5/25:17,0.155156015,-0.35199746
2014/5/25:18,0.153100691,-0.339893098
2014/5/25:19,0.15483169,-0.341258821
2014/5/25:20,0.158421269,-0.346765778
2014/5/25:21,0.159091802,-0.34267724
2014/5/25:22,0.163350733,-0.349843534
2014/5/25:23,0.167130474,-0.334049366
2014/5/26:0,0.14601405,-0.330915805
2014/5/26:1,0.158602219,-0.343916092
2014/5/26:2,0.150897135,-0.343403234
2014/5/26:3,0.161244671,-0.349546661
2014/5/26:4,0.158754253,-0.340337255
2014/5/26:5,0.153962624,-0.334377011
2014/5/26:6,0.158009297,-0.361129517
2014/5/26:7,0.15562556,-0.355159982
2014/5/26:8,0.156648974,-0.354527358
2014/5/26:9,0.154741143,-0.32729251
2014/5/26:10,0.164600684,-0.323247739
2014/5/26:11,0.180886643,-0.344481401
2014/5/26:12,0.184620488,-0.330823624
2014/5/26:13,0.194628813,-0.345990892
2014/5/26:14,0.181305633,-0.330499564
2014/5/26:15,0.174367471,-0.33380654
2014/5/26:16,0.165162177,-0.330104247
2014/5/26:17,0.163085091,-0.337103138
2014/5/26:18,0.16131931,-0.335809198
2014/5/26:19,0.156978412,-0.360586078
2014/5/26:20,0.161688386,-0.349240697
2014/5/26:21,0.150483311,-0.339349425
2014/5/26:22,0.161993947,-0.352419658
2014/5/26:23,0.165106352,-0.351336164
2014/5/27:0,0.1601951,-0.33741132
2014/5/27:1,0.153425493,-0.368588805
2014/5/27:2,0.157071002,-0.359269788
2014/5/27:3,0.157735834,-0.350879049
2014/5/27:4,0.156548399,-0.337686545
2014/5/27:5,0.177288813,-0.335494709
2014/5/27:6,0.152209012,-0.338833957
2014/5/27:7,0.141536712,-0.340087974
2014/5/27:8,0.140147721,-0.355698474
2014/5/27:9,0.140241758,-0.388618983
2014/5/27:10,0.146023565,-0.334774366
2014/5/27:11,0.162728055,-0.342185128
2014/5/27:12,0.169695764,-0.329285036
2014/5/27:13,0.162793993,-0.325815516
2014/5/27:14,0.161100724,-0.330857448
2014/5/27:15,0.153798889,-0.339203421
2014/5/27:16,0.147801691,-0.367312791
2014/5/27:17,0.165594257,-0.341041866
2014/5/27:18,0.158367971,-0.338690661
2014/5/27:19,0.154643949,-0.336956259
2014/5/27:20,0.151921862,-0.361977769
2014/5/27:21,0.147538324,-0.364958084
2014/5/27:22,0.150976937,-0.33840174
2014/5/27:23,0.152461627,-0.356266627
2014/5/28:0,0.157407158,-0.344257927
2014/5/28:1,0.163484164,-0.343591158
2014/5/28:2,0.156480887,-0.34830412
2014/5/28:3,0.160127519,-0.339633983
2014/5/28:4,0.163822335,-0.340087473
2014/5/28:5,0.164114304,-0.326668668
2014/5/28:6,0.151272182,-0.34622163
2014/5/28:7,0.143671849,-0.352878701
2014/5/28:8,0.147520726,-0.334653306
2014/5/28:9,0.137361102,-0.340906207
2014/5/28:10,0.178212837,-0.32887954
2014/5/28:11,0.167769223,-0.338438409
2014/5/28:12,0.162666795,-0.35594908
2014/5/28:13,0.169616121,-0.33665035
2014/5/28:14,0.166497455,-0.332207942
2014/5/28:15,0.164246947,-0.345494158
2014/5/28:16,0.172770245,-0.342545142
2014/5/28:17,0.159042447,-0.342233927
2014/5/28:18,0.161507964,-0.340524479
2014/5/28:19,0.162495372,-0.352242436
2014/5/28:20,0.152536269,-0.352725469
2014/5/28:21,0.154626802,-0.340273984
2014/5/28:22,0.153646428,-0.343870781
2014/5/28:23,0.160948539,-0.341568894
2014/5/29:0,0.153689439,-0.347042208
2014/5/29:1,0.154882665,-0.351614572
2014/5/29:2,0.146339059,-0.359009707
2014/5/29:3,0.162979684,-0.360462044
2014/5/29:4,0.166354657,-0.353732883
2014/5/29:5,0.167200539,-0.33651829
2014/5/29:6,0.165654647,-0.322688454
2014/5/29:7,0.15281629,-0.337714261
